week_ending,country,simd_quintile,deaths,average20152019,percent_variation
2020-07-05,S92000003,4,176,170.2,3.4
2020-07-05,S92000003,5,146,142.2,2.7
2020-07-12,S92000003,1,229,242.6,-5.6
2020-07-12,S92000003,2,214,229.6,-6.8
2020-07-12,S92000003,3,189,215.6,-12.3
2020-07-12,S92000003,4,194,178.4,8.7
2020-07-12,S92000003,5,149,152.4,-2.2
2020-07-19,S92000003,1,262,246.8,6.2
2020-07-19,S92000003,2,221,229.8,-3.8
2020-07-19,S92000003,3,201,200.8,0.1
2020-07-19,S92000003,4,188,166.8,12.7
2020-07-19,S92000003,5,159,146,8.9
2020-07-26,S92000003,1,236,245,-3.7
2020-07-26,S92000003,2,238,222,7.2
2020-07-26,S92000003,3,200,201.6,-0.8
2020-07-26,S92000003,4,156,169,-7.7
2020-07-26,S92000003,5,128,134,-4.5
2020-08-02,S92000003,1,254,238.4,6.5
2020-08-02,S92000003,2,249,216.4,15.1
2020-08-02,S92000003,3,221,204.6,8
2020-08-02,S92000003,4,181,179.2,1
2020-08-02,S92000003,5,135,150.2,-10.1
2020-08-09,S92000003,1,251,243,3.3
2020-08-09,S92000003,2,229,218,5
2020-08-09,S92000003,3,217,210.4,3.1
2020-08-09,S92000003,4,161,178.8,-10
2020-08-09,S92000003,5,149,147,1.4
2020-08-16,S92000003,1,222,235.8,-5.9
2020-08-16,S92000003,2,206,225.4,-8.6
2020-08-16,S92000003,3,196,205,-4.4
2020-08-16,S92000003,4,172,174.6,-1.5
2020-08-16,S92000003,5,128,146,-12.3
2020-08-23,S92000003,1,240,242.6,-1.1
2020-08-23,S92000003,2,250,222.6,12.3
2020-08-23,S92000003,3,226,204.4,10.6
2020-08-23,S92000003,4,168,172.2,-2.4
2020-08-23,S92000003,5,161,149.8,7.5
2020-08-30,S92000003,1,263,244,7.8
2020-08-30,S92000003,2,218,219,-0.5
2020-08-30,S92000003,3,207,194.2,6.6
2020-08-30,S92000003,4,189,172.8,9.4
2020-08-30,S92000003,5,148,146.8,0.8
2020-09-06,S92000003,1,265,244.6,8.3
2020-09-06,S92000003,2,227,226.4,0.3
2020-09-06,S92000003,3,204,196,4.1
2020-09-06,S92000003,4,191,178,7.3
2020-09-06,S92000003,5,161,136.6,17.9
2020-09-13,S92000003,1,243,247.8,-1.9
2020-09-13,S92000003,2,235,228.6,2.8
2020-09-13,S92000003,3,248,200,24
2020-09-13,S92000003,4,192,178.8,7.4
2020-09-13,S92000003,5,145,147.2,-1.5
2020-09-20,S92000003,1,232,248.2,-6.5
2020-09-20,S92000003,2,239,224,6.7
2020-09-20,S92000003,3,174,198.2,-12.2
2020-09-20,S92000003,4,165,180.4,-8.5
2020-09-20,S92000003,5,139,150.2,-7.5
2020-09-27,S92000003,1,211,248,-14.9
2020-09-27,S92000003,2,225,241.6,-6.9
2020-09-27,S92000003,3,180,218.6,-17.7
2020-09-27,S92000003,4,178,180.6,-1.4
2020-09-27,S92000003,5,137,152.8,-10.3
2020-10-04,S92000003,1,284,241.6,17.5
2020-10-04,S92000003,2,266,237,12.2
2020-10-04,S92000003,3,259,215.8,20
2020-10-04,S92000003,4,205,188,9
2020-10-04,S92000003,5,180,150,20
2020-10-11,S92000003,1,263,253.4,3.8
2020-10-11,S92000003,2,238,239,-0.4
2020-10-11,S92000003,3,218,224.4,-2.9
2020-10-11,S92000003,4,171,186.4,-8.3
2020-10-11,S92000003,5,181,170,6.5
2020-10-18,S92000003,1,279,257.4,8.4
2020-10-18,S92000003,2,223,238.6,-6.5
2020-10-18,S92000003,3,254,217.6,16.7
2020-10-18,S92000003,4,201,186.6,7.7
2020-10-18,S92000003,5,173,155.6,11.2
2020-10-25,S92000003,1,287,260.2,10.3
2020-10-25,S92000003,2,273,228.4,19.5
2020-10-25,S92000003,3,241,223,8.1
2020-10-25,S92000003,4,187,183.8,1.7
2020-10-25,S92000003,5,197,152.8,28.9
2020-11-01,S92000003,1,299,254.4,17.5
2020-11-01,S92000003,2,288,238.8,20.6
2020-11-01,S92000003,3,260,220,18.2
2020-11-01,S92000003,4,209,192.8,8.4
2020-11-01,S92000003,5,201,166.8,20.5
2020-11-08,S92000003,1,357,260.2,37.2
2020-11-08,S92000003,2,255,245,4.1
2020-11-08,S92000003,3,242,234.4,3.2
2020-11-08,S92000003,4,209,184.8,13.1
2020-11-08,S92000003,5,184,174.6,5.4
2020-11-15,S92000003,1,345,277.6,24.3
2020-11-15,S92000003,2,298,248,20.2
2020-11-15,S92000003,3,260,240.8,8
2020-11-15,S92000003,4,216,201,7.5
2020-11-15,S92000003,5,219,168,30.4
2020-11-22,S92000003,1,341,277,23.1
2020-11-22,S92000003,2,297,251,18.3
2020-11-22,S92000003,3,250,234.2,6.7
2020-11-22,S92000003,4,257,194,32.5
2020-11-22,S92000003,5,213,170.2,25.1
2020-11-29,S92000003,1,332,271,22.5
2020-11-29,S92000003,2,310,254.4,21.9
2020-11-29,S92000003,3,276,237.4,16.3
2020-11-29,S92000003,4,226,202.4,11.7
2020-11-29,S92000003,5,182,161.2,12.9
2020-12-06,S92000003,1,325,274.6,18.4
2020-12-06,S92000003,2,264,245,7.8
2020-12-06,S92000003,3,274,227.2,20.6
2020-12-06,S92000003,4,219,208.6,5
2020-12-06,S92000003,5,211,181.4,16.3
2020-12-13,S92000003,1,294,286.6,2.6
2020-12-13,S92000003,2,296,284.4,4.1
2020-12-13,S92000003,3,283,256.4,10.4
2020-12-13,S92000003,4,202,219.4,-7.9
2020-12-13,S92000003,5,203,183.4,10.7
2020-12-20,S92000003,1,284,306.8,-7.4
2020-12-20,S92000003,2,315,296.2,6.3
2020-12-20,S92000003,3,271,255.6,6
2020-12-20,S92000003,4,235,222,5.9
2020-12-20,S92000003,5,188,184.8,1.7
2020-12-27,S92000003,1,283,244.2,15.9
2020-12-27,S92000003,2,260,241.2,7.8
2020-12-27,S92000003,3,277,222.6,24.4
2020-12-27,S92000003,4,216,181.2,19.2
2020-12-27,S92000003,5,169,168,0.6
2021-01-03,S92000003,1,257,231,11.3
2021-01-03,S92000003,2,244,209,16.7
2021-01-03,S92000003,3,282,233,21
2021-01-03,S92000003,4,212,179,18.4
2021-01-03,S92000003,5,181,160,13.1
2021-01-10,S92000003,1,415,298.8,38.9
2021-01-10,S92000003,2,421,286.4,47
2021-01-10,S92000003,3,334,271,23.2
2021-01-10,S92000003,4,279,221,26.2
2021-01-10,S92000003,5,266,192.6,38.1
2021-01-17,S92000003,1,388,386.4,0.4
2021-01-17,S92000003,2,356,362.6,-1.8
2021-01-17,S92000003,3,303,320.2,-5.4
2021-01-17,S92000003,4,274,265.8,3.1
2021-01-17,S92000003,5,224,217.8,2.8
2021-01-24,S92000003,1,379,352,7.7
2021-01-24,S92000003,2,377,307.2,22.7
2021-01-24,S92000003,3,311,278.6,11.6
2021-01-24,S92000003,4,258,239,7.9
2021-01-24,S92000003,5,231,199.2,16
2021-01-31,S92000003,1,374,317.8,17.7
2021-01-31,S92000003,2,357,295.2,20.9
2021-01-31,S92000003,3,336,271.8,23.6
2021-01-31,S92000003,4,281,229.8,22.3
2021-01-31,S92000003,5,252,197.4,27.7
2021-02-07,S92000003,1,382,306.8,24.5
2021-02-07,S92000003,2,353,283,24.7
2021-02-07,S92000003,3,289,269,7.4
2021-02-07,S92000003,4,269,226.4,18.8
2021-02-07,S92000003,5,206,190.4,8.2
2021-02-14,S92000003,1,360,311.4,15.6
2021-02-14,S92000003,2,306,281.4,8.7
2021-02-14,S92000003,3,282,257.6,9.5
2021-02-14,S92000003,4,252,207.2,21.6
2021-02-14,S92000003,5,208,192.8,7.9
2021-02-21,S92000003,1,333,302.4,10.1
2021-02-21,S92000003,2,339,282.8,19.9
2021-02-21,S92000003,3,298,268.2,11.1
2021-02-21,S92000003,4,226,220.2,2.6
2021-02-21,S92000003,5,225,181.8,23.8
2021-02-28,S92000003,1,361,300.8,20
2021-02-28,S92000003,2,305,283.2,7.7
2021-02-28,S92000003,3,266,247.4,7.5
2021-02-28,S92000003,4,204,223.8,-8.8
2021-02-28,S92000003,5,188,185.4,1.4
2021-03-07,S92000003,1,329,273.8,20.2
2021-03-07,S92000003,2,263,259.2,1.5
2021-03-07,S92000003,3,252,245.8,2.5
2021-03-07,S92000003,4,184,202.2,-9
2021-03-07,S92000003,5,175,180.2,-2.9
2021-03-14,S92000003,1,294,300,-2
2021-03-14,S92000003,2,252,278.8,-9.6
2021-03-14,S92000003,3,236,258.8,-8.8
2021-03-14,S92000003,4,196,201.6,-2.8
2021-03-14,S92000003,5,167,185.4,-9.9
2021-03-21,S92000003,1,248,277,-10.5
2021-03-21,S92000003,2,252,274.4,-8.2
2021-03-21,S92000003,3,250,246,1.6
2021-03-21,S92000003,4,210,201.6,4.2
2021-03-21,S92000003,5,148,166.6,-11.2
2021-03-28,S92000003,1,252,273.4,-7.8
2021-03-28,S92000003,2,265,251.2,5.5
2021-03-28,S92000003,3,239,236.6,1
2021-03-28,S92000003,4,182,197.4,-7.8
2021-03-28,S92000003,5,158,156.2,1.2
2021-04-04,S92000003,1,250,267.6,-6.6
2021-04-04,S92000003,2,218,253.2,-13.9
2021-04-04,S92000003,3,178,243,-26.7
2021-04-04,S92000003,4,168,188,-10.6
2021-04-04,S92000003,5,154,161.4,-4.6
2021-04-11,S92000003,1,229,275.4,-16.8
2021-04-11,S92000003,2,260,248.4,4.7
2021-04-11,S92000003,3,209,235.4,-11.2
2021-04-11,S92000003,4,182,179.2,1.6
2021-04-11,S92000003,5,178,155.2,14.7
2021-04-18,S92000003,1,299,260.4,14.8
2021-04-18,S92000003,2,265,256.6,3.3
2021-04-18,S92000003,3,215,222.2,-3.2
2021-04-18,S92000003,4,193,195.6,-1.3
2021-04-18,S92000003,5,159,160.4,-0.9
2021-04-25,S92000003,1,282,268,5.2
2021-04-25,S92000003,2,247,237,4.2
2021-04-25,S92000003,3,216,222.8,-3.1
2021-04-25,S92000003,4,220,186,18.3
2021-04-25,S92000003,5,147,148.4,-0.9
2021-05-02,S92000003,1,247,253.8,-2.7
2021-05-02,S92000003,2,241,233,3.4
2021-05-02,S92000003,3,217,238,-8.8
2021-05-02,S92000003,4,167,196.2,-14.9
2021-05-02,S92000003,5,160,159.8,0.1
2021-05-09,S92000003,1,241,258.8,-6.9
2021-05-09,S92000003,2,197,240.8,-18.2
2021-05-09,S92000003,3,178,223.4,-20.3
2021-05-09,S92000003,4,168,185.4,-9.4
2021-05-09,S92000003,5,168,166.6,0.8
2021-05-16,S92000003,1,251,256.6,-2.2
2021-05-16,S92000003,2,232,226.6,2.4
2021-05-16,S92000003,3,244,217.6,12.1
2021-05-16,S92000003,4,183,171.4,6.8
2021-05-16,S92000003,5,163,156,4.5
2021-05-23,S92000003,1,229,264.6,-13.5
2021-05-23,S92000003,2,245,248.6,-1.4
2021-05-23,S92000003,3,225,218.2,3.1
2021-05-23,S92000003,4,195,175.6,11
2021-05-23,S92000003,5,146,151.8,-3.8
2021-05-30,S92000003,1,264,251.8,4.8
2021-05-30,S92000003,2,230,229.2,0.3
2021-05-30,S92000003,3,219,221.2,-1
2021-05-30,S92000003,4,200,177.2,12.9
2021-05-30,S92000003,5,182,158.6,14.8
2021-06-06,S92000003,1,267,257.6,3.6
2021-06-06,S92000003,2,217,228,-4.8
2021-06-06,S92000003,3,213,201.6,5.7
2021-06-06,S92000003,4,179,178.2,0.4
2021-06-06,S92000003,5,177,146,21.2
2021-06-13,S92000003,1,280,263.2,6.4
2021-06-13,S92000003,2,249,241.4,3.1
2021-06-13,S92000003,3,254,214.8,18.2
2021-06-13,S92000003,4,180,173,4
2021-06-13,S92000003,5,183,154.8,18.2
2021-06-20,S92000003,1,245,244.8,0.1
2021-06-20,S92000003,2,238,222.8,6.8
2021-06-20,S92000003,3,221,209.4,5.5
2021-06-20,S92000003,4,184,166.6,10.4
2021-06-20,S92000003,5,157,150.2,4.5
2021-06-27,S92000003,1,241,249.6,-3.4
2021-06-27,S92000003,2,231,226,2.2
2021-06-27,S92000003,3,230,218.4,5.3
2021-06-27,S92000003,4,202,179.8,12.3
2021-06-27,S92000003,5,145,142.2,2
